PLT_IND_DTM,RELATED_SCAN_WC,WORK_CENTRE_NAME_EN,TOTAL_PROCESSED,PROCESSED_OT,PROCESSED_LATE
2022/07/22,990911,TORONTO GW BMF / LPS 1021-MU23 / ILC1253,1011,560,41
2022/06/20,300126,TORONTO GW BMF /LPS 1021-LU12 / ILC 1248,908,827,10
2022/09/29,990914,TORONTO GW BMF / LPS 1021-MU22 / ILC1252,1903,1428,50
2022/12/30,990706,BSS 1330 ST JOHN'S ORIGINATING,626,417,9
2022/01/05,990911,TORONTO GW BMF / LPS 1021-MU23 / ILC1253,11,8,1
2021/12/08,990909,TORONTO GW BMF / LPS 1021-LU13 / ILC1249,3,1,0
2022/02/04,990911,TORONTO GW BMF / LPS 1021-MU23 / ILC1253,1,0,0
2022/05/02,862380,TORONTO GW BMF / EUS SS 1023,9087,8042,791
2022/11/10,990913,TORONTO GW BMF / LPS 1021-LU14 / ILC1250,1441,1032,88
2022/07/07,300126,TORONTO GW BMF /LPS 1021-LU12 / ILC 1248,604,423,50
2023/03/17,990909,TORONTO GW BMF / LPS 1021-LU13 / ILC1249,560,403,92
2022/05/26,990706,BSS 1330 ST JOHN'S ORIGINATING,382,212,54
2022/09/21,862380,TORONTO GW BMF / EUS SS 1023,26807,16758,8267
2022/11/04,990914,TORONTO GW BMF / LPS 1021-MU22 / ILC1252,1850,1424,79
2022/12/27,990912,TORONTO GW BMF / LPS 1021-LU11 / ILC1247,327,273,39
2022/09/28,300126,TORONTO GW BMF /LPS 1021-LU12 / ILC 1248,1451,671,14
2022/08/30,990715,ST. JOHN'S / ILS OH4011,12,0,0
2021/11/24,990912,TORONTO GW BMF / LPS 1021-LU11 / ILC1247,2,2,0
2022/10/04,300126,TORONTO GW BMF /LPS 1021-LU12 / ILC 1248,1442,1053,67
2022/10/05,990914,TORONTO GW BMF / LPS 1021-MU22 / ILC1252,2178,1443,180
2022/06/21,990912,TORONTO GW BMF / LPS 1021-LU11 / ILC1247,1296,743,112
2022/04/26,990715,ST. JOHN'S / ILS OH4011,1,0,0
2023/04/21,990910,TORONTO GW BMF / LPS 1021-MU21 / ILC1251,1622,1135,121
2022/09/09,990911,TORONTO GW BMF / LPS 1021-MU23 / ILC1253,1515,940,291
2022/11/18,800509,TORONTO GW BMF / LPS 1021,31601,21360,8883
2022/08/25,800509,TORONTO GW BMF / LPS 1021,17218,14281,1913
2022/12/22,300126,TORONTO GW BMF /LPS 1021-LU12 / ILC 1248,805,632,15
2022/07/29,990913,TORONTO GW BMF / LPS 1021-LU14 / ILC1250,1372,1069,58
2022/04/29,990910,TORONTO GW BMF / LPS 1021-MU21 / ILC1251,77,64,5
2022/06/17,800214,ST JOHN'S / ILC 1240,132,120,4
2021/08/27,800214,ST JOHN'S / ILC 1240,1,0,0
2022/08/01,990913,TORONTO GW BMF / LPS 1021-LU14 / ILC1250,26,22,3
2021/07/08,862380,TORONTO GW BMF / EUS SS 1023,1,0,0
2022/09/21,990715,ST. JOHN'S / ILS OH4011,15,0,0
2022/09/01,800509,TORONTO GW BMF / LPS 1021,17800,14876,2345
2023/01/26,800214,ST JOHN'S / ILC 1240,325,295,21
2022/05/06,990915,TORONTO GW BMF / LPS 1021-MU24 / ILC1254,858,632,61
2021/11/16,300126,TORONTO GW BMF /LPS 1021-LU12 / ILC 1248,2,0,0
2022/04/25,800509,TORONTO GW BMF / LPS 1021,143,116,6
2022/12/15,990915,TORONTO GW BMF / LPS 1021-MU24 / ILC1254,1768,1466,195
2022/06/17,990715,ST. JOHN'S / ILS OH4011,10,0,0
2022/09/27,990913,TORONTO GW BMF / LPS 1021-LU14 / ILC1250,2029,1524,105
2022/12/27,990909,TORONTO GW BMF / LPS 1021-LU13 / ILC1249,797,692,76
2022/09/15,990909,TORONTO GW BMF / LPS 1021-LU13 / ILC1249,1143,787,74
2022/08/18,300126,TORONTO GW BMF /LPS 1021-LU12 / ILC 1248,597,431,50
2022/05/09,990911,TORONTO GW BMF / LPS 1021-MU23 / ILC1253,1093,1019,29
2022/12/29,990910,TORONTO GW BMF / LPS 1021-MU21 / ILC1251,2583,1313,828
2022/05/18,990912,TORONTO GW BMF / LPS 1021-LU11 / ILC1247,1143,944,84
2022/02/16,990910,TORONTO GW BMF / LPS 1021-MU21 / ILC1251,1,0,0
2022/05/25,862380,TORONTO GW BMF / EUS SS 1023,23325,17723,5215
2023/02/17,990914,TORONTO GW BMF / LPS 1021-MU22 / ILC1252,1080,715,42
2022/11/30,300126,TORONTO GW BMF /LPS 1021-LU12 / ILC 1248,1235,649,388
2022/04/22,800509,TORONTO GW BMF / LPS 1021,64,32,19
2022/07/19,990915,TORONTO GW BMF / LPS 1021-MU24 / ILC1254,1438,1256,103
2022/05/24,990911,TORONTO GW BMF / LPS 1021-MU23 / ILC1253,1314,1132,59
2022/06/24,990915,TORONTO GW BMF / LPS 1021-MU24 / ILC1254,1058,790,62
2022/09/29,990706,BSS 1330 ST JOHN'S ORIGINATING,533,390,30
2022/08/12,990909,TORONTO GW BMF / LPS 1021-LU13 / ILC1249,916,799,46
2022/08/15,990706,BSS 1330 ST JOHN'S ORIGINATING,405,316,2
2023/02/27,990910,TORONTO GW BMF / LPS 1021-MU21 / ILC1251,822,736,31
2023/01/24,800509,TORONTO GW BMF / LPS 1021,33976,23717,8050
2023/02/13,990915,TORONTO GW BMF / LPS 1021-MU24 / ILC1254,671,528,7
2022/05/18,990706,BSS 1330 ST JOHN'S ORIGINATING,289,160,11
2023/03/16,990914,TORONTO GW BMF / LPS 1021-MU22 / ILC1252,1778,1255,115
2023/03/08,990715,ST. JOHN'S / ILS OH4011,6,0,0
