Plant_Postal_Code,Plant_Name,Fiscal_Year,Fiscal_Week_Number,Production_Day_Of_Week_Number,Shift_Date,Shift_Number,Business_Process_Number,BP_English_Name,Reporting_Type_English_Name,Plant_Volume,Worked_Hour
A1B 3R0,St. John's MPP,2019,5,4,2019/01/30,2,1044414,Manual Packets,Process,5422,42.449988
A1B 3R0,St. John's MPP,2019,5,4,2019/01/30,3,1044414,Manual Packets,Process,2949,21.016661
A1B 3R0,St. John's MPP,2019,5,4,2019/01/31,1,1044414,Manual Packets,Process,1073,7.449998
A1B 3R0,St. John's MPP,2019,5,5,2019/01/31,2,1044414,Manual Packets,Process,3254,18.299996
A1B 3R0,St. John's MPP,2019,5,5,2019/01/31,3,1044414,Manual Packets,Process,562,11.066659
A1B 3R0,St. John's MPP,2019,5,5,2019/02/01,1,1044414,Manual Packets,Process,966,9.666664
A1B 3R0,St. John's MPP,2019,5,6,2019/02/01,2,1044414,Manual Packets,Process,3139,31.983326
A1B 3R0,St. John's MPP,2019,5,6,2019/02/01,3,1044414,Manual Packets,Process,1763,11.383328
A1B 3R0,St. John's MPP,2019,5,7,2019/02/02,2,1044414,Manual Packets,Process,4791,13.18333
A1B 3R0,St. John's MPP,2019,5,7,2019/02/02,3,1044414,Manual Packets,Process,1012,4.016666
A1B 3R0,St. John's MPP,2019,6,1,2019/02/03,3,1044414,Manual Packets,Process,3266,8.683329
A1B 3R0,St. John's MPP,2019,6,1,2019/02/04,1,1044414,Manual Packets,Process,1670,17.51666
A1B 3R0,St. John's MPP,2019,6,2,2019/02/04,2,1044414,Manual Packets,Process,2081,15.349993
A1B 3R0,St. John's MPP,2019,6,2,2019/02/04,3,1044414,Manual Packets,Process,2238,11.133329
A1B 3R0,St. John's MPP,2019,6,2,2019/02/05,1,1044414,Manual Packets,Process,1078,6.016665
A1B 3R0,St. John's MPP,2019,6,3,2019/02/05,2,1044414,Manual Packets,Process,5105,30.783324
A1B 3R0,St. John's MPP,2019,6,3,2019/02/05,3,1044414,Manual Packets,Process,2182,24.866656
A1B 3R0,St. John's MPP,2019,6,3,2019/02/06,1,1044414,Manual Packets,Process,166,10.049998
A1B 3R0,St. John's MPP,2019,6,4,2019/02/06,2,1044414,Manual Packets,Process,5597,32.266659
A1B 3R0,St. John's MPP,2019,6,4,2019/02/06,3,1044414,Manual Packets,Process,2449,18.883326
A1B 3R0,St. John's MPP,2019,6,4,2019/02/07,1,1044414,Manual Packets,Process,1046,8.78333
A1B 3R0,St. John's MPP,2019,6,5,2019/02/07,2,1044414,Manual Packets,Process,4936,28.233326
A1B 3R0,St. John's MPP,2019,6,5,2019/02/07,3,1044414,Manual Packets,Process,1344,7.283331
A1B 3R0,St. John's MPP,2019,6,5,2019/02/08,1,1044414,Manual Packets,Process,1120,7.633331
A1B 3R0,St. John's MPP,2019,6,6,2019/02/08,2,1044414,Manual Packets,Process,7776,39.316661
A1B 3R0,St. John's MPP,2019,6,6,2019/02/08,3,1044414,Manual Packets,Process,1196,7.083331
A1B 3R0,St. John's MPP,2019,6,7,2019/02/09,2,1044414,Manual Packets,Process,3122,13.499996
A1B 3R0,St. John's MPP,2019,6,7,2019/02/09,3,1044414,Manual Packets,Process,138,1.45
A1B 3R0,St. John's MPP,2019,7,1,2019/02/10,3,1044414,Manual Packets,Process,4298,9.78333
A1B 3R0,St. John's MPP,2019,7,1,2019/02/11,1,1044414,Manual Packets,Process,0,3.816665
A1B 3R0,St. John's MPP,2019,7,2,2019/02/11,2,1044414,Manual Packets,Process,1691,6.849997
A1B 3R0,St. John's MPP,2019,7,2,2019/02/11,3,1044414,Manual Packets,Process,1764,12.166665
A1B 3R0,St. John's MPP,2019,7,2,2019/02/12,1,1044414,Manual Packets,Process,234,5.716664
A1B 3R0,St. John's MPP,2019,7,3,2019/02/12,2,1044414,Manual Packets,Process,4996,32.999993
A1B 3R0,St. John's MPP,2019,7,3,2019/02/12,3,1044414,Manual Packets,Process,1348,11.016663
A1B 3R0,St. John's MPP,2019,7,3,2019/02/13,1,1044414,Manual Packets,Process,80,4.749999
A1B 3R0,St. John's MPP,2019,7,4,2019/02/13,2,1044414,Manual Packets,Process,3892,31.333325
A1B 3R0,St. John's MPP,2019,7,4,2019/02/13,3,1044414,Manual Packets,Process,2342,15.366663
A1B 3R0,St. John's MPP,2019,7,4,2019/02/14,1,1044414,Manual Packets,Process,741,4.083332
A1B 3R0,St. John's MPP,2019,7,5,2019/02/14,2,1044414,Manual Packets,Process,2871,23.466659
A1B 3R0,St. John's MPP,2019,7,5,2019/02/14,3,1044414,Manual Packets,Process,3767,32.933321
A1B 3R0,St. John's MPP,2019,7,5,2019/02/15,1,1044414,Manual Packets,Process,1846,16.083328
A1B 3R0,St. John's MPP,2019,7,6,2019/02/15,2,1044414,Manual Packets,Process,4619,32.799991
A1B 3R0,St. John's MPP,2019,7,6,2019/02/15,3,1044414,Manual Packets,Process,768,15.266661
A1B 3R0,St. John's MPP,2019,7,7,2019/02/16,2,1044414,Manual Packets,Process,7528,22.266662
A1B 3R0,St. John's MPP,2019,7,7,2019/02/16,3,1044414,Manual Packets,Process,368,4.066666
A1B 3R0,St. John's MPP,2019,8,1,2019/02/17,3,1044414,Manual Packets,Process,2633,12.016665
A1B 3R0,St. John's MPP,2019,8,1,2019/02/18,1,1044414,Manual Packets,Process,1850,15.416663
A1B 3R0,St. John's MPP,2019,8,2,2019/02/18,2,1044414,Manual Packets,Process,2456,20.999995
A1B 3R0,St. John's MPP,2019,8,2,2019/02/18,3,1044414,Manual Packets,Process,6453,19.08333
A1B 3R0,St. John's MPP,2019,8,2,2019/02/19,1,1044414,Manual Packets,Process,2314,19.983329
A1B 3R0,St. John's MPP,2019,8,3,2019/02/19,2,1044414,Manual Packets,Process,2525,20.733328
A1B 3R0,St. John's MPP,2019,8,3,2019/02/19,3,1044414,Manual Packets,Process,7262,18.283329
A1B 3R0,St. John's MPP,2019,8,3,2019/02/20,1,1044414,Manual Packets,Process,1571,9.349996
A1B 3R0,St. John's MPP,2019,8,4,2019/02/20,2,1044414,Manual Packets,Process,3736,24.133329
A1B 3R0,St. John's MPP,2019,8,4,2019/02/20,3,1044414,Manual Packets,Process,826,7.366663
A1B 3R0,St. John's MPP,2019,8,4,2019/02/21,1,1044414,Manual Packets,Process,,5.366665
A1B 3R0,St. John's MPP,2019,8,5,2019/02/21,2,1044414,Manual Packets,Process,4874,34.433328
A1B 3R0,St. John's MPP,2019,8,5,2019/02/21,3,1044414,Manual Packets,Process,1707,11.749993
A1B 3R0,St. John's MPP,2019,8,5,2019/02/22,1,1044414,Manual Packets,Process,986,9.083331
A1B 3R0,St. John's MPP,2019,8,6,2019/02/22,2,1044414,Manual Packets,Process,3773,31.61666
A1B 3R0,St. John's MPP,2019,8,6,2019/02/22,3,1044414,Manual Packets,Process,3690,17.699993
A1B 3R0,St. John's MPP,2019,8,7,2019/02/23,2,1044414,Manual Packets,Process,4406,7.08333
A1B 3R0,St. John's MPP,2019,8,7,2019/02/23,3,1044414,Manual Packets,Process,1134,1.75
A1B 3R0,St. John's MPP,2019,9,1,2019/02/24,3,1044414,Manual Packets,Process,3380,14.533329
A1B 3R0,St. John's MPP,2019,9,1,2019/02/25,1,1044414,Manual Packets,Process,3664,20.43333
A1B 3R0,St. John's MPP,2019,9,2,2019/02/25,2,1044414,Manual Packets,Process,5093,21.549993
A1B 3R0,St. John's MPP,2019,9,2,2019/02/25,3,1044414,Manual Packets,Process,3772,15.499996
A1B 3R0,St. John's MPP,2019,9,2,2019/02/26,1,1044414,Manual Packets,Process,20,4.05
A1B 3R0,St. John's MPP,2019,9,3,2019/02/26,2,1044414,Manual Packets,Process,4172,30.833327
A1B 3R0,St. John's MPP,2019,9,3,2019/02/26,3,1044414,Manual Packets,Process,1010,10.583329
A1B 3R0,St. John's MPP,2019,9,4,2019/02/27,2,1044414,Manual Packets,Process,5517,29.483324
A1B 3R0,St. John's MPP,2019,9,4,2019/02/27,3,1044414,Manual Packets,Process,1104,8.38333
A1B 3R0,St. John's MPP,2019,9,4,2019/02/28,1,1044414,Manual Packets,Process,294,5.333332
A1B 3R0,St. John's MPP,2019,9,5,2019/02/28,2,1044414,Manual Packets,Process,3331,24.266664
