Plant_Postal_Code,Plant_Name,Fiscal_Year,Fiscal_Week_Number,Production_Day_Of_Week_Number,Shift_Date,Shift_Number,Business_Process_Number,BP_English_Name,Reporting_Type_English_Name,Plant_Volume,Worked_Hour
L5W 1B0,Toronto Gateway East,2022,17,1,2022/04/25,1,1044410,Induct Pcls EUS,Process,13288,73.183326
L5W 1B0,Toronto Gateway East,2022,17,2,2022/04/25,2,1044410,Induct Pcls EUS,Process,,22.949998
L5W 1B0,Toronto Gateway East,2022,17,2,2022/04/25,3,1044410,Induct Pcls EUS,Process,33089,92.299993
L5W 1B0,Toronto Gateway East,2022,17,2,2022/04/26,1,1044410,Induct Pcls EUS,Process,27712,84.733327
L5W 1B0,Toronto Gateway East,2022,17,3,2022/04/26,2,1044410,Induct Pcls EUS,Process,2,17.966664
L5W 1B0,Toronto Gateway East,2022,17,3,2022/04/26,3,1044410,Induct Pcls EUS,Process,30783,92.783324
L5W 1B0,Toronto Gateway East,2022,17,3,2022/04/27,1,1044410,Induct Pcls EUS,Process,26889,77.133327
L5W 1B0,Toronto Gateway East,2022,17,4,2022/04/27,2,1044410,Induct Pcls EUS,Process,,11.383331
L5W 1B0,Toronto Gateway East,2022,17,4,2022/04/27,3,1044410,Induct Pcls EUS,Process,30899,87.033323
L5W 1B0,Toronto Gateway East,2022,17,4,2022/04/28,1,1044410,Induct Pcls EUS,Process,25921,68.783328
L5W 1B0,Toronto Gateway East,2022,17,5,2022/04/28,2,1044410,Induct Pcls EUS,Process,14406,41.28333
L5W 1B0,Toronto Gateway East,2022,17,5,2022/04/28,3,1044410,Induct Pcls EUS,Process,31206,100.049989
L5W 1B0,Toronto Gateway East,2022,17,5,2022/04/29,1,1044410,Induct Pcls EUS,Process,17056,63.483327
L5W 1B0,Toronto Gateway East,2022,17,6,2022/04/29,2,1044410,Induct Pcls EUS,Process,,22.949998
L5W 1B0,Toronto Gateway East,2022,17,6,2022/04/29,3,1044410,Induct Pcls EUS,Process,29556,63.499996
L5W 1B0,Toronto Gateway East,2022,17,6,2022/04/30,1,1044410,Induct Pcls EUS,Process,,4.55
L5W 1B0,Toronto Gateway East,2022,17,7,2022/04/30,2,1044410,Induct Pcls EUS,Process,13893,53.699992
L5W 1B0,Toronto Gateway East,2022,17,7,2022/04/30,3,1044410,Induct Pcls EUS,Process,83,
L5W 1B0,Toronto Gateway East,2022,17,7,2022/05/01,1,1044410,Induct Pcls EUS,Process,3,
