Plant_Postal_Code,Plant_Name,Fiscal_Year,Fiscal_Week_Number,Production_Day_Of_Week_Number,Shift_Date,Shift_Number,Business_Process_Number,BP_English_Name,Reporting_Type_English_Name,Plant_Volume,Worked_Hour
A1B 3R0,St. John's MPP,2019,11,2,2019/03/11,3,1044413,Manual Parcels,Process,841,13.616661
A1B 3R0,St. John's MPP,2019,11,2,2019/03/12,1,1044413,Manual Parcels,Process,,1.683332
A1B 3R0,St. John's MPP,2019,11,3,2019/03/12,2,1044413,Manual Parcels,Process,1113,14.833331
A1B 3R0,St. John's MPP,2019,11,3,2019/03/12,3,1044413,Manual Parcels,Process,785,17.349996
A1B 3R0,St. John's MPP,2019,11,3,2019/03/13,1,1044413,Manual Parcels,Process,1774,18.266661
A1B 3R0,St. John's MPP,2019,11,4,2019/03/13,2,1044413,Manual Parcels,Process,2284,26.06666
A1B 3R0,St. John's MPP,2019,11,4,2019/03/13,3,1044413,Manual Parcels,Process,783,14.816661
A1B 3R0,St. John's MPP,2019,11,4,2019/03/14,1,1044413,Manual Parcels,Process,108,1.916665
A1B 3R0,St. John's MPP,2019,11,5,2019/03/14,2,1044413,Manual Parcels,Process,2991,16.149995
A1B 3R0,St. John's MPP,2019,11,5,2019/03/14,3,1044413,Manual Parcels,Process,1867,23.016661
A1B 3R0,St. John's MPP,2019,11,5,2019/03/15,1,1044413,Manual Parcels,Process,1289,13.399996
A1B 3R0,St. John's MPP,2019,11,6,2019/03/15,2,1044413,Manual Parcels,Process,881,9.299996
A1B 3R0,St. John's MPP,2019,11,6,2019/03/15,3,1044413,Manual Parcels,Process,873,13.483328
A1B 3R0,St. John's MPP,2019,11,7,2019/03/16,2,1044413,Manual Parcels,Process,2193,12.599996
A1B 3R0,St. John's MPP,2019,11,7,2019/03/16,3,1044413,Manual Parcels,Process,90,0.85
A1B 3R0,St. John's MPP,2019,12,1,2019/03/17,3,1044413,Manual Parcels,Process,1971,17.933328
A1B 3R0,St. John's MPP,2019,12,1,2019/03/18,1,1044413,Manual Parcels,Process,2685,20.866664
A1B 3R0,St. John's MPP,2019,12,2,2019/03/18,2,1044413,Manual Parcels,Process,2494,21.34999
A1B 3R0,St. John's MPP,2019,12,2,2019/03/18,3,1044413,Manual Parcels,Process,873,15.583328
A1B 3R0,St. John's MPP,2019,12,2,2019/03/19,1,1044413,Manual Parcels,Process,,2.183332
A1B 3R0,St. John's MPP,2019,12,3,2019/03/19,2,1044413,Manual Parcels,Process,4030,13.299994
A1B 3R0,St. John's MPP,2019,12,3,2019/03/19,3,1044413,Manual Parcels,Process,830,17.133326
A1B 3R0,St. John's MPP,2019,12,3,2019/03/20,1,1044413,Manual Parcels,Process,,4.416665
A1B 3R0,St. John's MPP,2019,12,4,2019/03/20,2,1044413,Manual Parcels,Process,2500,17.399994
A1B 3R0,St. John's MPP,2019,12,4,2019/03/20,3,1044413,Manual Parcels,Process,635,15.033327
A1B 3R0,St. John's MPP,2019,12,4,2019/03/21,1,1044413,Manual Parcels,Process,1921,17.099993
A1B 3R0,St. John's MPP,2019,12,5,2019/03/21,2,1044413,Manual Parcels,Process,2292,20.183325
A1B 3R0,St. John's MPP,2019,12,5,2019/03/21,3,1044413,Manual Parcels,Process,894,13.666663
A1B 3R0,St. John's MPP,2019,12,5,2019/03/22,1,1044413,Manual Parcels,Process,1150,10.633327
A1B 3R0,St. John's MPP,2019,12,6,2019/03/22,2,1044413,Manual Parcels,Process,2749,14.883328
A1B 3R0,St. John's MPP,2019,12,6,2019/03/22,3,1044413,Manual Parcels,Process,743,14.583327
A1B 3R0,St. John's MPP,2019,12,7,2019/03/23,2,1044413,Manual Parcels,Process,672,7.666661
A1B 3R0,St. John's MPP,2019,12,7,2019/03/23,3,1044413,Manual Parcels,Process,,0.3
A1B 3R0,St. John's MPP,2019,13,1,2019/03/24,3,1044413,Manual Parcels,Process,,6.966664
A1B 3R0,St. John's MPP,2019,13,2,2019/03/25,2,1044413,Manual Parcels,Process,401,8.016665
A1B 3R0,St. John's MPP,2019,13,2,2019/03/25,3,1044413,Manual Parcels,Process,818,13.583329
A1B 3R0,St. John's MPP,2019,13,2,2019/03/26,1,1044413,Manual Parcels,Process,1695,15.049993
A1B 3R0,St. John's MPP,2019,13,3,2019/03/26,2,1044413,Manual Parcels,Process,3809,18.899994
A1B 3R0,St. John's MPP,2019,13,3,2019/03/26,3,1044413,Manual Parcels,Process,2123,26.316661
A1B 3R0,St. John's MPP,2019,13,3,2019/03/27,1,1044413,Manual Parcels,Process,414,8.149996
A1B 3R0,St. John's MPP,2019,13,4,2019/03/27,2,1044413,Manual Parcels,Process,2621,22.666662
A1B 3R0,St. John's MPP,2019,13,4,2019/03/27,3,1044413,Manual Parcels,Process,656,17.783326
A1B 3R0,St. John's MPP,2019,13,4,2019/03/28,1,1044413,Manual Parcels,Process,,1.699999
A1B 3R0,St. John's MPP,2019,13,5,2019/03/28,2,1044413,Manual Parcels,Process,3214,20.649993
A1B 3R0,St. John's MPP,2019,13,5,2019/03/28,3,1044413,Manual Parcels,Process,1861,26.199991
A1B 3R0,St. John's MPP,2019,13,5,2019/03/29,1,1044413,Manual Parcels,Process,2553,28.233327
A1B 3R0,St. John's MPP,2019,13,6,2019/03/29,2,1044413,Manual Parcels,Process,3233,23.11666
A1B 3R0,St. John's MPP,2019,13,6,2019/03/29,3,1044413,Manual Parcels,Process,644,14.316665
A1B 3R0,St. John's MPP,2019,13,7,2019/03/30,2,1044413,Manual Parcels,Process,2070,17.849992
A1B 3R0,St. John's MPP,2019,13,7,2019/03/30,3,1044413,Manual Parcels,Process,369,6.349998
A1B 3R0,St. John's MPP,2019,14,1,2019/03/31,3,1044413,Manual Parcels,Process,80,8.949997
A1B 3R0,St. John's MPP,2019,14,1,2019/04/01,1,1044413,Manual Parcels,Process,1516,20.699994
A1B 3R0,St. John's MPP,2019,14,2,2019/04/01,2,1044413,Manual Parcels,Process,1043,19.849997
A1B 3R0,St. John's MPP,2019,14,2,2019/04/01,3,1044413,Manual Parcels,Process,3004,27.316654
A1B 3R0,St. John's MPP,2019,14,2,2019/04/02,1,1044413,Manual Parcels,Process,,1.749998
A1B 3R0,St. John's MPP,2019,14,3,2019/04/02,2,1044413,Manual Parcels,Process,3202,27.46666
A1B 3R0,St. John's MPP,2019,14,3,2019/04/02,3,1044413,Manual Parcels,Process,800,12.016662
A1B 3R0,St. John's MPP,2019,14,3,2019/04/03,1,1044413,Manual Parcels,Process,2021,15.299994
A1B 3R0,St. John's MPP,2019,14,4,2019/04/03,2,1044413,Manual Parcels,Process,1426,19.183328
A1B 3R0,St. John's MPP,2019,14,4,2019/04/03,3,1044413,Manual Parcels,Process,850,4.883331
A1B 3R0,St. John's MPP,2019,14,4,2019/04/04,1,1044413,Manual Parcels,Process,1413,10.399995
A1B 3R0,St. John's MPP,2019,14,5,2019/04/04,2,1044413,Manual Parcels,Process,1086,16.249997
A1B 3R0,St. John's MPP,2019,14,5,2019/04/04,3,1044413,Manual Parcels,Process,594,10.566663
A1B 3R0,St. John's MPP,2019,14,5,2019/04/05,1,1044413,Manual Parcels,Process,,1.083332
A1B 3R0,St. John's MPP,2019,14,6,2019/04/05,2,1044413,Manual Parcels,Process,885,15.566664
A1B 3R0,St. John's MPP,2019,14,6,2019/04/05,3,1044413,Manual Parcels,Process,676,13.616664
A1B 3R0,St. John's MPP,2019,14,7,2019/04/06,2,1044413,Manual Parcels,Process,360,6.316665
A1B 3R0,St. John's MPP,2019,15,1,2019/04/07,3,1044413,Manual Parcels,Process,2760,22.949994
A1B 3R0,St. John's MPP,2019,15,1,2019/04/08,1,1044413,Manual Parcels,Process,1992,13.766662
A1B 3R0,St. John's MPP,2019,15,2,2019/04/08,2,1044413,Manual Parcels,Process,674,4.016666
A1B 3R0,St. John's MPP,2019,15,2,2019/04/08,3,1044413,Manual Parcels,Process,2381,28.333325
A1B 3R0,St. John's MPP,2019,15,2,2019/04/09,1,1044413,Manual Parcels,Process,138,2.033332
A1B 3R0,St. John's MPP,2019,15,3,2019/04/09,2,1044413,Manual Parcels,Process,2023,18.599995
A1B 3R0,St. John's MPP,2019,15,3,2019/04/09,3,1044413,Manual Parcels,Process,2659,31.19999
A1B 3R0,St. John's MPP,2019,15,3,2019/04/10,1,1044413,Manual Parcels,Process,1178,11.966664
A1B 3R0,St. John's MPP,2019,15,4,2019/04/10,2,1044413,Manual Parcels,Process,2602,28.216656
A1B 3R0,St. John's MPP,2019,15,4,2019/04/10,3,1044413,Manual Parcels,Process,1247,14.449996
